brag,both
covet,both
coveting,both
covetingly,both
covetously,both
demand,both
demands,both
fawn,both
gloat,both
implore,both
imploring,both
imploringly,both
infatuated,both
lust,both
plead,both
pleading,both
pleadingly,both
pervasive,negative
abandoned,negative
abandonment,negative
abandon,negative
abase,negative
abasement,negative
abash,negative
abate,negative
abdicate,negative
aberration,negative
abhor,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abhorrently,negative
abhors,negative
abject,negative
abjectly,negative
abjure,negative
abnormal,negative
abolish,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abrade,negative
abrasive,negative
abrupt,negative
abscond,negative
absence,negative
absentee,negative
absent-minded,negative
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abuse,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
accidental,negative
accost,negative
accountable,negative
accursed,negative
accusation,negative
accusations,negative
accuse,negative
accuses,negative
accusing,negative
accusingly,negative
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
adamant,negative
adamantly,negative
addict,negative
addiction,negative
admonish,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
adrift,negative
adulterate,negative
adulterated,negative
adulteration,negative
adversarial,negative
adversary,negative
adverse,negative
adversity,negative
affectation,negative
afflict,negative
affliction,negative
afflictive,negative
affront,negative
afraid,negative
against,negative
aggravate,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aghast,negative
agitate,negative
agitated,negative
agitation,negative
agitator,negative
agonies,negative
agonize,negative
agonizing,negative
agonizingly,negative
agony,negative
ail,negative
ailment,negative
aimless,negative
airs,negative
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alas,negative
alienate,negative
alienated,negative
alienation,negative
allegation,negative
allegations,negative
allege,negative
allergic,negative
aloof,negative
altercation,negative
although,negative
ambiguous,negative
ambiguity,negative
ambivalence,negative
ambivalent,negative
ambush,negative
amiss,negative
amputate,negative
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anemic,negative
anger,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
annihilate,negative
annihilation,negative
animosity,negative
annoy,negative
annoyance,negative
annoyed,negative
annoying,negative
annoyingly,negative
anomalous,negative
anomaly,negative
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
anti-,negative
anti-American,negative
anti-Israeli,negative
anti-Semites,negative
anti-US,negative
anti-occupation,negative
anti-proliferation,negative
anti-social,negative
anti-white,negative
antipathy,negative
antiquated,negative
antithetical,negative
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
apathetic,negative
apathetically,negative
apathy,negative
ape,negative
apocalypse,negative
apocalyptic,negative
apologist,negative
apologists,negative
appal,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
apprehension,negative
apprehensions,negative
apprehensive,negative
apprehensively,negative
arbitrary,negative
